story_id,word_count,character_count,sentence_count,genre,first_words,timestamp
story_0000,68,451,5,Technical/Scientific,"In today’s digital world, our lives are increasingly stored on...",2025-09-04T23:59:17.446833
story_0001,62,366,3,Technical/Scientific,### Step 1: Understand What Needs to Be Backed Up...,2025-09-04T23:59:17.446863
story_0002,83,497,6,Technical/Scientific,### Step 2: Choose the Right Backup Method There are...,2025-09-04T23:59:17.446880
story_0003,60,389,3,Unknown,### Step 3: Set Up Automatic Backups Manual backups are...,2025-09-04T23:59:17.446909
story_0004,284,1664,22,Fiction/Creative,The morning mist clung to the hills like a shy...,2025-09-04T23:59:17.446990
story_0005,281,1609,27,Fiction/Creative,"The forest breathed. Sunlight, fractured by the canopy, dappled the...",2025-09-04T23:59:17.447069
story_0006,285,1603,25,Fiction/Creative,The wind across the Gorge of Sighing Stones carried more...,2025-09-04T23:59:17.447149
story_0007,169,967,12,General Knowledge/How-To,"The village of Elderglen had forgotten the stars, until the...",2025-09-04T23:59:17.447194
story_0008,98,606,8,Unknown,The **populace** began to change. Children traced star-maps in the...,2025-09-04T23:59:17.447229
story_0009,178,1014,11,Unknown,**1. Triceratops** ✅ (Correct and clear) *Triceratops* is a type...,2025-09-04T23:59:17.447281
story_0010,228,1432,19,Fiction/Creative,The old clock tower in Greystone Square hadn’t chimed in...,2025-09-04T23:59:17.447351
story_0011,120,692,10,Fiction/Creative,"The tide was pulling back, revealing the skeletal remains of...",2025-09-04T23:59:17.447391
story_0012,162,1023,14,Fiction/Creative,"A sculpture. Half-buried in the muck, its form was unmistakable:...",2025-09-04T23:59:17.447444
story_0013,71,394,2,General Knowledge/How-To,**How to Sew a Simple Patch on a Jacket: A...,2025-09-04T23:59:17.447466
story_0014,59,336,1,Unknown,"### What You’ll Need: - A patch (fabric, leather, or...",2025-09-04T23:59:17.447487
story_0015,83,459,6,General Knowledge/How-To,### Step 1: Prepare Your Patch and Jacket Begin by...,2025-09-04T23:59:17.447511
story_0016,56,308,4,Unknown,### Step 3: Start Sewing with a Hidden Stitch To...,2025-09-04T23:59:17.447529
story_0017,238,1511,22,Technical/Scientific,"The old lab smelled of dust and forgotten experiments. Elara,...",2025-09-04T23:59:17.447570
story_0018,245,1668,43,Technical/Scientific,The city of Novea hummed with an *electromagnetically* charged pulse...,2025-09-04T23:59:17.447631
story_0019,213,1252,14,Fiction/Creative,The town of Stroud was built on secrets. Not grand...,2025-09-04T23:59:17.447704
story_0020,65,389,11,Fiction/Creative,"The next morning, the library’s new assistant, a wide-eyed student...",2025-09-04T23:59:17.447734
story_0021,231,1535,13,News/Informative,"**Local Man Suffers Severe Backache After Late-Night Cola Binge** *Springfield,...",2025-09-04T23:59:17.447801
story_0022,211,1455,14,Technical/Scientific,"In a significant development for reproductive science, researchers at the...",2025-09-04T23:59:17.447846
story_0023,54,407,4,Technical/Scientific,"The study’s authors emphasize that while still early, these insights...",2025-09-04T23:59:17.447862
story_0024,101,570,6,Technical/Scientific,**Quantum Entanglement: A Simple Explanation** Imagine two coins that are...,2025-09-04T23:59:17.447882
story_0025,115,740,9,Technical/Scientific,"In the real world, scientists use tiny particles—like electrons or...",2025-09-04T23:59:17.447910
story_0026,56,431,2,Technical/Scientific,"In a bold move to clarify ongoing scientific misconceptions, a...",2025-09-04T23:59:17.447927
story_0027,106,799,6,Technical/Scientific,"The so-called ""deviationism"" hypothesis suggested that echinoderms evolved in ways...",2025-09-04T23:59:17.447953
story_0028,84,626,3,Technical/Scientific,The article concludes with a reminder from the scientific community...,2025-09-04T23:59:17.447975
story_0029,95,559,4,General Knowledge/How-To,"**How to Make a Flawless, Shining Salsa with a Kick:...",2025-09-04T23:59:17.448001
story_0030,86,486,2,General Knowledge/How-To,### Step 1: Gather Your Ingredients To create a *shining*...,2025-09-04T23:59:17.448024
story_0031,89,507,6,Unknown,"The fiery sensation in your salsa comes from **capsaicin**, the...",2025-09-04T23:59:17.448058
story_0032,110,707,8,Unknown,**1. Merchantman (in maritime science & shipping)** *What it is:*...,2025-09-04T23:59:17.448101
story_0033,111,697,11,Unknown,**2. Kalmia (in botany/plant science)** *What it is:* Kalmia is...,2025-09-04T23:59:17.448140
story_0034,56,384,2,Unknown,The Teatro alla Scala recently captivated audiences not just with...,2025-09-04T23:59:17.448160
story_0035,73,517,5,Unknown,"The event, titled “Opera & Appetite,” combined the artistry of...",2025-09-04T23:59:17.448190
story_0036,54,347,2,Unknown,"The fusion of opera, haute cuisine, and fashion has sparked...",2025-09-04T23:59:17.448213
story_0037,270,1737,25,Technical/Scientific,Sure! Let's take the complex scientific concept of **quantum entanglement**—a...,2025-09-04T23:59:17.448262
story_0038,107,684,9,Unknown,"**Languishing** is a state of feeling stuck, uninspired, and emotionally...",2025-09-04T23:59:17.448307
story_0039,98,649,7,Technical/Scientific,### 🧠 Why Is This Important? (The Science) Psychologists like...,2025-09-04T23:59:17.448337
story_0040,253,1606,31,Technical/Scientific,"The jungle air hung thick and sweet, thick with the...",2025-09-04T23:59:17.448410
story_0041,72,464,2,Unknown,**Local Archaeologists Unearth Rare Roman Artifact in Rural Dig Site**...,2025-09-04T23:59:17.448453
story_0042,52,344,2,Unknown,"The artifact, measuring 18 centimeters in length and adorned with...",2025-09-04T23:59:17.448471
story_0043,53,341,2,Technical/Scientific,"In addition to the ladle, researchers uncovered fragments of pottery,...",2025-09-04T23:59:17.448483
story_0044,59,372,5,Unknown,The team has also identified a series of shallow pits...,2025-09-04T23:59:17.448506
story_0045,92,614,5,General Knowledge/How-To,**How to Grow and Care for Bloodroot: A Step-by-Step Guide**...,2025-09-04T23:59:17.448541
story_0046,62,373,5,General Knowledge/How-To,### **Step 1: Choose the Right Location** Bloodroot prefers **partial...,2025-09-04T23:59:17.448569
story_0047,85,501,7,Unknown,### **Step 2: Planting Bloodroot** Bloodroot is best planted in...,2025-09-04T23:59:17.448600
story_0048,246,1682,14,Unknown,**Local Artist’s New Exhibit Blurs Lines Between Art and Chaos**...,2025-09-04T23:59:17.448685
story_0049,105,613,8,Technical/Scientific,### 🌟 Quantum Entanglement: The Cosmic Twin Connection Imagine you...,2025-09-04T23:59:17.448710
story_0050,84,503,6,Technical/Scientific,In the quantum world (the tiny world of atoms and...,2025-09-04T23:59:17.448726
story_0051,73,383,5,Unknown,"### A Breezy Analogy (No Math, Just Fun) Think of...",2025-09-04T23:59:17.448750
story_0052,120,731,7,Unknown,"The city breathed in steam and neon, its heartbeat a...",2025-09-04T23:59:17.448788
story_0053,116,635,11,Unknown,A gust of wind snatched the magazine from her hand....,2025-09-04T23:59:17.448825
story_0054,72,416,6,Unknown,The marginality hadn’t gone away. The city still roared. But...,2025-09-04T23:59:17.448851
story_0055,247,1707,12,Technical/Scientific,**Local Historian Challenges Longstanding Narrative of Town’s Founding** *By Elena...,2025-09-04T23:59:17.448893
story_0056,90,546,11,Unknown,### 🌍 Why Do Birds Migrate? Birds don’t just travel...,2025-09-04T23:59:17.448927
story_0057,72,433,6,Unknown,### ✈️ How Do They Do It? Birds use amazing...,2025-09-04T23:59:17.448957
story_0058,193,1134,14,Fiction/Creative,The rain drummed a steady rhythm on the rooftop of...,2025-09-04T23:59:17.449011
story_0059,55,325,6,Unknown,A soldier’s shadow filled the doorway. Not the grey uniform...,2025-09-04T23:59:17.449032
story_0060,63,439,3,General Knowledge/How-To,**How to Navigate Emotional Displacement in a Marriage: A Guide...,2025-09-04T23:59:17.449054
story_0061,112,752,7,Unknown,### What Is Emotional Displacement? Emotional displacement refers to a...,2025-09-04T23:59:17.449093
story_0062,68,464,4,Unknown,### Why Does Emotional Displacement Happen? Displacement often stems from...,2025-09-04T23:59:17.449118
story_0063,59,386,7,General Knowledge/How-To,### How to Reconnect: A Step-by-Step Approach 1. **Acknowledge the...,2025-09-04T23:59:17.449137
story_0064,171,987,16,Technical/Scientific,**Quantum Entanglement (in plain terms):** Imagine you have two magic...,2025-09-04T23:59:17.449169
story_0065,88,496,6,Technical/Scientific,"In quantum physics, tiny particles (like electrons or photons) can...",2025-09-04T23:59:17.449188
story_0066,98,586,10,Unknown,### 🔬 Real-World Example: Water vs. Poison - **Water** is...,2025-09-04T23:59:17.449221
story_0067,76,471,5,General Knowledge/How-To,**How to Survive a Weekend Road Trip with a Butterfingers...,2025-09-04T23:59:17.449242
story_0068,90,572,5,General Knowledge/How-To,### Step 1: Choose the Right Car (Fastback Advantage) First...,2025-09-04T23:59:17.449266
story_0069,93,569,3,Unknown,### Step 2: Banish Illogicalness with a Pre-Trip Checklist Your...,2025-09-04T23:59:17.449295
story_0070,69,479,2,Unknown,**Ancient Cretaceous Sediments Reveal Hidden Quicksand Hazards in Western Desert**...,2025-09-04T23:59:17.449323
story_0071,108,769,8,Technical/Scientific,"The Cretaceous period, which spanned from approximately 145 to 66...",2025-09-04T23:59:17.449344
story_0072,101,712,5,Technical/Scientific,"The study also touched on human behavior, noting that credulousness—defined...",2025-09-04T23:59:17.449365
story_0073,136,926,7,Unknown,"The controversy began when a group of residents, calling themselves...",2025-09-04T23:59:17.449411
story_0074,111,717,6,News/Informative,"In the aftermath, town officials issued a statement promising a...",2025-09-04T23:59:17.449441
story_0075,255,1654,35,Unknown,The old oak in the village square had seen centuries...,2025-09-04T23:59:17.449521
story_0076,110,687,10,Fiction/Creative,The air in the archive hummed with the weight of...,2025-09-04T23:59:17.449560
story_0077,90,606,13,Fiction/Creative,The *dreamworld* unfolded. Trees grew from floating tablets of parchment....,2025-09-04T23:59:17.449593
story_0078,68,408,9,Fiction/Creative,"The student smiled, a spark in their eyes. ""Ah, the...",2025-09-04T23:59:17.449618
story_0079,106,702,6,Unknown,A striking new public art installation has captured the attention...,2025-09-04T23:59:17.449655
story_0080,100,663,7,Unknown,"The kite, constructed from recycled materials and illuminated by solar-powered...",2025-09-04T23:59:17.449691
story_0081,55,337,2,Unknown,"The installation, which will remain on display through August, has...",2025-09-04T23:59:17.449710
story_0082,208,1251,17,Fiction/Creative,"The air in the flooded cathedral hung thick and *watery*,...",2025-09-04T23:59:17.449771
story_0083,67,384,15,Fiction/Creative,The water wasn't hostile. It was *waiting*. As she reached...,2025-09-04T23:59:17.449792
story_0084,81,558,4,General Knowledge/How-To,**How to Start a Successful Youth Basketball League: A Step-by-Step...,2025-09-04T23:59:17.449817
story_0085,87,599,8,Unknown,"### 2. **Recruit Coaches and Volunteers** You’ll need dedicated coaches,...",2025-09-04T23:59:17.449849
story_0086,67,415,5,Technical/Scientific,### 3. **Use a Scorebook to Track Progress** A **scorebook**...,2025-09-04T23:59:17.449864
story_0087,110,683,7,General Knowledge/How-To,**How to Survive a Kitchen Catastrophe: A Guide to Handling...,2025-09-04T23:59:17.449893
story_0088,62,368,5,General Knowledge/How-To,"### Step 1: Stay Calm and Assess the Situation First,...",2025-09-04T23:59:17.449912
story_0089,77,441,5,Unknown,### Step 2: Contain the Gelatinous Threat Gelatinous substances are...,2025-09-04T23:59:17.449936
story_0090,72,414,3,General Knowledge/How-To,**How to Master the Art of the Perfect Fishing Trip...,2025-09-04T23:59:17.449955
story_0091,76,441,4,General Knowledge/How-To,### Step 1: Gear Up with Purpose (Not Panic) Before...,2025-09-04T23:59:17.449975
story_0092,74,405,5,Unknown,### Step 2: Choose the Right Spot Not all waterways...,2025-09-04T23:59:17.449998
story_0093,55,310,4,Unknown,"### Step 3: Cast with Calm, Not Force Don’t just...",2025-09-04T23:59:17.450018
story_0094,73,522,4,Unknown,"In today’s hyper-connected world, the incessantness of life—constant notifications, endless...",2025-09-04T23:59:17.450048
story_0095,81,494,5,General Knowledge/How-To,**Step 1: Recognize the Incessant Nature of Your Environment** Start...,2025-09-04T23:59:17.450070
story_0096,71,422,6,Unknown,"In the midst of the chaos, create intentional moments of...",2025-09-04T23:59:17.450095
story_0097,289,1669,28,Unknown,"The war had been waged for years, not with flags...",2025-09-04T23:59:17.450181
story_0098,324,1892,28,Technical/Scientific,The old clock tower in Hollow’s End didn’t chime anymore....,2025-09-04T23:59:17.450238
story_0099,86,564,9,Unknown,"### 💡 Where You Might Hear ""Discretionary"" in Science/Real Life...",2025-09-04T23:59:17.450272
story_0100,402,2538,28,Technical/Scientific,The wind howled like a disgruntled sea captain through the...,2025-09-04T23:59:17.450341
story_0101,137,832,11,Technical/Scientific,"🌟 Think of rennin like a ""milk helper"" that turns...",2025-09-04T23:59:17.450370
story_0102,160,962,8,Fiction/Creative,"The stage lights dimmed to a single spotlight, illuminating a...",2025-09-04T23:59:17.450425
story_0103,66,375,8,Fiction/Creative,"The curtain fell. Not with a bang, but with a...",2025-09-04T23:59:17.450450
